OCU Name,SNT Code,SNT Name,Latitude (generated),Longitude (generated),Sum Value
Wandsworth,00BJFZ,Balham,51.449848,-0.151725,2968
Wandsworth,00BJ03N,Tooting,51.430192,-0.172527,2884
Wandsworth,00BJ02N,Graveney,51.425372,-0.162423,1784
Wandsworth,00BJ01T,Tooting Town Centre,51.42732,-0.165911,2528
Waltham Forest,00BHGS,Wood Street,51.587048,0.00166,2299
Waltham Forest,00BHGR,William Morris,51.590212,-0.028144,2181
Waltham Forest,00BHGQ,Valley,51.612788,-0.024374,3217
Waltham Forest,00BHGP,Markhouse,51.57692,-0.03041,2551
Waltham Forest,00BHGN,Leytonstone,51.569068,0.008964,2872
Waltham Forest,00BHGM,Leyton,51.561808,-0.015974,3345
Waltham Forest,00BHGL,Lea Bridge,51.568376,-0.032426,3288
Waltham Forest,00BHGK,Larkswood,51.61424,-0.009739,1875
Waltham Forest,00BHGJ,Hoe Street,51.583544,-0.013987,2698
Waltham Forest,00BHGH,Higham Hill,51.597584,-0.037397,2187
Waltham Forest,00BHGG,High Street,51.580376,-0.044559,5193
Waltham Forest,00BHGF,Hatch Lane,51.617188,0.00969,1578
Waltham Forest,00BHGE,Hale End and Highams Park,51.602404,0.004973,1801
Waltham Forest,00BHGD,Grove Green,51.563572,-0.00427,1936
Waltham Forest,00BHGC,Forest,51.576844,0.003127,2702
Waltham Forest,00BHGB,Endlebury,51.626904,-0.009524,1310
Waltham Forest,00BHGA,Chingford Green,51.635732,0.005302,1659
Waltham Forest,00BHFZ,Chapel End,51.597252,-0.011953,2560
Waltham Forest,00BHFY,Cathall,51.556412,0.000249,2217
Waltham Forest,00BHFX,Cann Hall,51.55714,0.011895,1991
Tower Hamlets,00BGGN,Whitechapel,51.513816,-0.064985,5369
Tower Hamlets,00BGGM,Weavers,51.526672,-0.070476,4803
Tower Hamlets,00BGGL,Spitalfields and Banglatown,51.519692,-0.069216,7325
Tower Hamlets,00BGGK,Shadwell,51.5119,-0.051946,2778
Tower Hamlets,00BGGJ,St Katharine's and Wapping,51.506548,-0.061429,2863
Tower Hamlets,00BGGD,Limehouse,51.509936,-0.033775,1097
Tower Hamlets,00BGGA,Bow West,51.531304,-0.037007,3217
Tower Hamlets,00BG13W,Stepney Green,51.516724,-0.049039,2006
Tower Hamlets,00BG12W,St Peter's,51.528892,-0.058785,5914
Tower Hamlets,00BG11W,St Dunstan's,51.518352,-0.039978,2464
Tower Hamlets,00BG10W,Poplar,51.509996,-0.011464,1871
Tower Hamlets,00BG09W,Mile End,51.518192,-0.029464,4110
Tower Hamlets,00BG08W,Lansbury,51.515264,-0.010889,3846
Tower Hamlets,00BG07W,Island Gardens,51.48946,-0.015345,1386
Tower Hamlets,00BG06W,Canary Wharf,51.501524,-0.022481,3974
Tower Hamlets,00BG05W,Bromley South,51.52152,-0.017702,2203
Tower Hamlets,00BG04W,Bromley North,51.526368,-0.017724,2408
Tower Hamlets,00BG03W,Blackwall and Cubitt Town,51.50156,-0.005954,2591
Tower Hamlets,00BG02W,Bethnal Green,51.526304,-0.047825,5410
Tower Hamlets,00BG02,Bow East,51.536784,-0.026594,3902
Sutton,00BFGW,Worcester Park,51.380128,-0.232258,1143
Sutton,00BFGU,Wandle Valley,51.384896,-0.165174,1792
Sutton,00BFGT,Wallington South,51.354476,-0.149905,1517
Sutton,00BFGS,Wallington North,51.367168,-0.150867,1539
Sutton,00BFGR,The Wrythe,51.374416,-0.168982,1554
Sutton,00BFGQ,Sutton West,51.362268,-0.20527,1008
Sutton,00BFGP,Sutton South,51.356044,-0.18717,1035
Sutton,00BFGN,Sutton North,51.374944,-0.193238,1253
Sutton,00BFGM,Sutton Central,51.365216,-0.190437,4609
Sutton,00BFGL,Stonecot,51.378752,-0.210024,1179
Sutton,00BFGK,St Helier,51.3822,-0.183417,1964
Sutton,00BFGJ,Nonsuch,51.370464,-0.232544,1269
Sutton,00BFGH,Cheam,51.347836,-0.215979,1079
Sutton,00BFGG,Carshalton South and Clockhouse,51.34036,-0.163206,896
Sutton,00BFGF,Carshalton Central,51.364336,-0.169616,1297
Sutton,00BFGE,Belmont,51.347988,-0.194064,939
Sutton,00BFGD,Beddington South,51.351884,-0.132355,1538
Sutton,00BFGC,Beddington North,51.376324,-0.137854,1541
Southwark,00BEGZ,Dulwich Village,51.44936,-0.087274,1899
Southwark,00BEGY,Rye Lane,51.467832,-0.069426,5421
Southwark,00BEGX,Surrey Docks,51.500344,-0.03774,1861
Southwark,00BEGW,Champion Hill,51.463428,-0.084947,1252
Southwark,00BEGU,South Bermondsey,51.491464,-0.068272,3166
Southwark,00BEGT,Rotherhithe,51.497424,-0.049665,3926
Southwark,00BEGS,North Bermondsey,51.498464,-0.064942,3634
Southwark,00BEGR,Peckham Rye,51.456712,-0.054274,1277
Southwark,00BEGQ,Peckham,51.477616,-0.073038,3047
Southwark,00BEGP,Nunhead and Queen's Road,51.469408,-0.056201,3100
Southwark,00BEGN,Newington,51.485316,-0.101974,2196
Southwark,00BEGM,Old Kent Road,51.483332,-0.064109,4301
Southwark,00BEGL,London Bridge and West Bermondsey,51.500628,-0.081256,7928
Southwark,00BEGK,Faraday,51.485136,-0.085009,3086
Southwark,00BEGJ,North Walworth,51.491064,-0.092217,5398
Southwark,00BEGH,Dulwich Hill,51.450664,-0.066772,1081
Southwark,00BEGF,Chaucer,51.497472,-0.091016,3735
Southwark,00BEGE,Borough and Bankside,51.505024,-0.098982,7123
Southwark,00BEGD,Camberwell Green,51.477096,-0.095168,4087
Southwark,00BEGC,St Giles,51.473596,-0.084395,3301
Southwark,00BE02N,Dulwich Wood,51.435148,-0.077852,1622
Richmond upon Thames,00BDGP,Whitton,51.453416,-0.357104,1200
Richmond upon Thames,00BDGN,West Twickenham,51.439388,-0.358588,1237
Richmond upon Thames,00BDGM,Twickenham Riverside,51.450808,-0.317585,1997
Richmond upon Thames,00BDGK,South Twickenham,51.44034,-0.338553,1063
Richmond upon Thames,00BDGH,St Margarets and North Twickenham,51.45534,-0.329802,1512
Richmond upon Thames,00BDGG,North Richmond,51.467072,-0.299133,1839
Richmond upon Thames,00BDGF,Mortlake and Barnes Common,51.46902,-0.250539,1584
Richmond upon Thames,00BDGE,Kew,51.477072,-0.288692,1683
Richmond upon Thames,00BDGD,Heathfield,51.448264,-0.371822,1259
Richmond upon Thames,00BDGB,Hampton North,51.427812,-0.374936,1334
Richmond upon Thames,00BDFW,Barnes,51.479832,-0.237274,1293
Richmond upon Thames,00BD08N,Teddington,51.426704,-0.333456,1177
Richmond upon Thames,00BD07N,South Richmond,51.459104,-0.294767,3379
Richmond upon Thames,00BD06N,Hampton Wick,51.416804,-0.315403,1227
Richmond upon Thames,00BD05N,Hampton,51.408856,-0.351572,1073
Richmond upon Thames,00BD04N,"Ham, Petersham and Richmond Riverside",51.439452,-0.310963,1261
Richmond upon Thames,00BD03N,Fulwell and Hampton Hill,51.429884,-0.351721,970
Richmond upon Thames,00BD02N,East Sheen,51.46146,-0.267102,1224
Redbridge,00BCGU,Wanstead Park,51.564728,0.035194,1344
Redbridge,00BCGS,Wanstead Village,51.578968,0.026915,1971
Redbridge,00BCGR,Seven Kings,51.571808,0.107728,2793
Redbridge,00BCGQ,Churchfields,51.60006,0.027043,1740
Redbridge,00BCGN,Monkhams,51.616028,0.027028,1078
Redbridge,00BCGM,Mayfield,51.554132,0.097219,1849
Redbridge,00BCGK,Hainault,51.610356,0.125465,1922
Redbridge,00BCGJ,Goodmayes,51.561984,0.11072,2571
Redbridge,00BCGH,Fullwell,51.594092,0.061936,2002
Redbridge,00BCGG,Fairlop,51.59968,0.089015,2077
Redbridge,00BCGD,Clayhall,51.585016,0.051319,1752
Redbridge,00BCGC,South Woodford,51.590212,0.025738,1826
Redbridge,00BCGB,Chadwell,51.575208,0.123383,1759
Redbridge,00BCGA,Bridge,51.605984,0.052133,1555
Redbridge,00BCFZ,Barkingside,51.581328,0.069254,1933
Redbridge,00BCFY,Aldborough,51.590288,0.109429,2415
Redbridge,00BC06N,Valentines,51.566648,0.070009,2757
Redbridge,00BC05N,Newbury,51.571928,0.092662,1760
Redbridge,00BC04N,Loxford,51.549228,0.074886,2750
Redbridge,00BC03N,Cranbrook,51.5713,0.057668,1967
Redbridge,00BC02N,Clementswood,51.554472,0.080107,1923
Redbridge,00BC01T,Ilford Town,51.56116,0.080453,7330
Newham,00BBGX,West Ham,51.535548,0.011419,2508
Newham,00BBGW,Wall End,51.536268,0.063148,2140
Newham,00BBGT,Royal Docks,51.501732,0.046451,2519
Newham,00BBGS,Plaistow South,51.523996,0.032421,3608
Newham,00BBGR,Plaistow North,51.531752,0.023116,2227
Newham,00BBGQ,Manor Park,51.549936,0.044318,2421
Newham,00BBGP,Little Ilford,51.553692,0.056976,2673
Newham,00BBGN,Green Street West,51.539948,0.028538,3495
Newham,00BBGM,Green Street East,51.541776,0.037067,2272
Newham,00BBGL,Forest Gate South,51.545632,0.020087,4009
Newham,00BBGK,Forest Gate North,51.55134,0.019915,2294
Newham,00BBGJ,East Ham South,51.524728,0.058842,2598
Newham,00BBGH,East Ham North,51.542524,0.051297,1823
Newham,00BBGG,East Ham Central,51.532644,0.051825,4985
Newham,00BBGF,Custom House,51.51202,0.035217,3412
Newham,00BBGE,Canning Town South,51.512424,0.016829,3387
Newham,00BBGD,Canning Town North,51.522348,0.007319,4148
Newham,00BBGC,Boleyn,51.531028,0.041395,2559
Newham,00BBGB,Beckton,51.515444,0.072351,4468
Newham,00BB04N,Westfield Shopping Centre,51.543072,-0.007016,5318
Newham,00BB03N,East Village and International Quarter,51.546344,-0.00929,939
Newham,00BB02N,Stratford and New Town,51.539268,-0.0057,9713
Merton,00BAGS,Wimbledon Park,51.432456,-0.197274,1384
Merton,00BAGR,West Barnes,51.398256,-0.235033,1528
Merton,00BAGQ,Village,51.427204,-0.231473,1230
Merton,00BAGP,Trinity,51.422048,-0.191747,2070
Merton,00BAGN,St Helier,51.392088,-0.198833,1435
Merton,00BAGM,Raynes Park,51.41084,-0.235421,1199
Merton,00BAGL,Ravensbury,51.39612,-0.182001,1613
Merton,00BAGK,Pollards Hill,51.398092,-0.14043,1434
Merton,00BAGJ,Merton Park,51.406276,-0.200931,1304
Merton,00BAGH,Lower Morden,51.388356,-0.222179,718
Merton,00BAGG,Longthornton,51.407696,-0.14147,1296
Merton,00BAGF,Lavender Fields,51.411132,-0.171361,1507
Merton,00BAGE,Hillside,51.420412,-0.21334,1318
Merton,00BAGD,Graveney,51.416864,-0.153333,1266
Merton,00BAGC,Figge's Marsh,51.407972,-0.157763,2455
Merton,00BAGB,Dundonald,51.4135,-0.213182,1202
Merton,00BAGA,Cricket Green,51.397712,-0.164036,2062
Merton,00BAFZ,Colliers Wood,51.418128,-0.173813,1982
Merton,00BAFY,Cannon Hill,51.400824,-0.214466,856
Merton,00BAFX,Abbey,51.41404,-0.191106,1645
Lewisham,00AZGX,Whitefoot,51.433204,0.000273,2815
Lewisham,00AZGW,Telegraph Hill,51.467432,-0.044407,2434
Lewisham,00AZGU,Sydenham,51.427404,-0.056782,2797
Lewisham,00AZGS,Perry Vale,51.436316,-0.044388,2344
Lewisham,00AZGR,New Cross,51.479592,-0.039897,4964
Lewisham,00AZGP,Lee Green,51.452436,0.007113,2442
Lewisham,00AZGN,Ladywell,51.458892,-0.025569,2081
Lewisham,00AZGM,Grove Park,51.435872,0.023295,1918
Lewisham,00AZGL,Forest Hill,51.440484,-0.058096,2442
Lewisham,00AZGK,Evelyn,51.486388,-0.034962,3183
Lewisham,00AZGJ,Downham,51.424308,0.001681,2878
Lewisham,00AZGH,Crofton Park,51.449164,-0.038761,2168
Lewisham,00AZGG,Catford South,51.439292,-0.008576,2167
Lewisham,00AZGF,Brockley,51.469152,-0.030175,3846
Lewisham,00AZGD,Bellingham,51.427736,-0.025046,3498
Lewisham,00AZ04N,Rushey Green,51.447132,-0.020413,2707
Lewisham,00AZ03N,Lewisham Central,51.45536,-0.009217,4873
Lewisham,00AZ02N,Blackheath,51.466632,0.001079,2995
Lewisham,00AZ01T,Lewisham Town Centre,51.455496,-0.015559,4260
Lambeth,00AYGW,Vassall,51.474776,-0.109048,2789
Lambeth,00AYGU,Tulse Hill,51.44962,-0.115263,2608
Lambeth,00AYGT,Thurlow Park,51.441156,-0.100646,2454
Lambeth,00AYGS,Thornton,51.446956,-0.136728,1383
Lambeth,00AYGR,Streatham Wells,51.429936,-0.121846,2179
Lambeth,00AYGQ,Streatham South,51.417328,-0.130315,2417
Lambeth,00AYGP,Streatham Hill,51.440724,-0.122206,2483
Lambeth,00AYGN,Stockwell,51.474856,-0.124298,2776
Lambeth,00AYGM,St Leonard's,51.429804,-0.133449,3669
Lambeth,00AYGL,Prince's,51.490164,-0.114848,3434
Lambeth,00AYGK,Oval,51.48256,-0.11817,4560
Lambeth,00AYGJ,Larkhall,51.468756,-0.128791,3652
Lambeth,00AYGH,Knight's Hill,51.42924,-0.107856,2411
Lambeth,00AYGG,Herne Hill,51.458888,-0.101278,3362
Lambeth,00AYGF,Gipsy Hill,51.427412,-0.091954,2352
Lambeth,00AYGE,Ferndale,51.463444,-0.121595,4773
Lambeth,00AYGD,Coldharbour,51.463704,-0.108462,6758
Lambeth,00AYGC,Clapham Town,51.46518,-0.141672,4743
Lambeth,00AYGB,Clapham Common,51.456224,-0.139641,2393
Lambeth,00AYGA,Brixton Hill,51.452788,-0.123888,3736
Lambeth,00AYFZ,Bishop's,51.501464,-0.11469,7639
Kingston upon Thames,00AXGN,Tudor,51.424896,-0.301321,795
Kingston upon Thames,00AXGM,Tolworth and Hook Rise,51.3742,-0.289849,1508
Kingston upon Thames,00AXGL,Surbiton Hill,51.384764,-0.301293,887
Kingston upon Thames,00AXGK,St Mark's,51.395992,-0.301657,1659
Kingston upon Thames,00AXGJ,St James,51.393204,-0.256466,808
Kingston upon Thames,00AXGH,Old Malden,51.38496,-0.25536,792
Kingston upon Thames,00AXGG,Norbiton,51.40754,-0.285569,1758
Kingston upon Thames,00AXGF,Grove,51.404636,-0.299871,7695
Kingston upon Thames,00AXGE,Coombe Vale,51.409212,-0.267414,638
Kingston upon Thames,00AXGD,Coombe Hill,51.421716,-0.264705,1479
Kingston upon Thames,00AXGC,Chessington South,51.347916,-0.312006,1184
Kingston upon Thames,00AXGB,Chessington North and Hook,51.3681,-0.305375,1001
Kingston upon Thames,00AXGA,Canbury,51.416788,-0.294625,1585
Kingston upon Thames,00AXFZ,Beverley,51.4027,-0.258955,1865
Kingston upon Thames,00AXFY,Berrylands,51.392592,-0.289385,941
Kingston upon Thames,00AXFX,Alexandra,51.383816,-0.275248,924
Kensington and Chelsea,00AWGR,Stanley,51.486476,-0.175904,2935
Kensington and Chelsea,00AWGP,Royal Hospital,51.488116,-0.159703,3407
Kensington and Chelsea,00AWGM,Queen's Gate,51.498572,-0.185338,2204
Kensington and Chelsea,00AWGL,Pembridge,51.511072,-0.198439,2273
Kensington and Chelsea,00AWGJ,Norland,51.509256,-0.20989,1275
Kensington and Chelsea,00AWGH,Holland,51.501492,-0.207034,1806
Kensington and Chelsea,00AWGF,Golborne,51.522744,-0.208603,2692
Kensington and Chelsea,00AWGE,Earl's Court,51.491196,-0.195267,2938
Kensington and Chelsea,00AWGC,Courtfield,51.492088,-0.180811,2859
Kensington and Chelsea,00AWGB,Colville,51.515604,-0.204163,3988
Kensington and Chelsea,00AWFY,Abingdon,51.496568,-0.196584,2157
Kensington and Chelsea,00AW08W,St Helen's,51.518488,-0.217781,1500
Kensington and Chelsea,00AW07W,Redcliffe,51.486956,-0.187265,1698
Kensington and Chelsea,00AW06W,Notting Dale,51.512992,-0.215297,2446
Kensington and Chelsea,00AW05W,Dalgarno,51.524648,-0.221472,1890
Kensington and Chelsea,00AW04W,Chelsea Riverside,51.481876,-0.175046,2036
Kensington and Chelsea,00AW03W,Brompton and Hans Town,51.496164,-0.166618,6524
Kensington and Chelsea,00AW02N,Campden,51.504936,-0.195249,2904
Islington,00AUGK,St George's,51.555772,-0.128072,2290
Islington,00AUGJ,Mildmay,51.549488,-0.086807,2668
Islington,00AUGH,Junction,51.563036,-0.135024,3794
Islington,00AUGG,Holloway,51.550708,-0.119339,3310
Islington,00AUGF,Hillrise,51.57062,-0.128223,2008
Islington,00AUGE,Highbury West,51.55686,-0.105614,3820
Islington,00AUGD,Highbury East,51.553052,-0.098346,2678
Islington,00AUGC,Finsbury Park,51.561736,-0.113592,6391
Islington,00AUGA,Canonbury,51.543344,-0.091185,2218
Islington,00AUFZ,Caledonian,51.540388,-0.118986,4770
Islington,00AU07N,Tollington,51.567004,-0.119769,2819
Islington,00AU06N,St Peter's,51.535368,-0.096833,2979
Islington,00AU05N,St Mary's,51.543044,-0.104315,3537
Islington,00AU04N,Clerkenwell,51.526372,-0.108157,4182
Islington,00AU03N,Bunhill,51.524736,-0.094382,6282
Islington,00AU02N,Barnsbury,51.537696,-0.111365,2300
Islington,00AU01T,Angel Town Centre,51.534076,-0.105792,4561
Hounslow,00ATGT,Turnham Green,51.492848,-0.27046,3245
Hounslow,00ATGS,Syon,51.478888,-0.317099,3109
Hounslow,00ATGR,Osterley and Spring Grove,51.486668,-0.344247,2706
Hounslow,00ATGQ,Isleworth,51.464836,-0.331586,1996
Hounslow,00ATGK,Heston West,51.488,-0.397326,3021
Hounslow,00ATGJ,Heston East,51.48394,-0.370391,2273
Hounslow,00ATGH,Heston Central,51.478824,-0.38083,2239
Hounslow,00ATGG,Hanworth Park,51.440352,-0.402279,2302
Hounslow,00ATGF,Hanworth,51.432432,-0.39149,2135
Hounslow,00ATGE,Feltham West,51.439184,-0.428088,2908
Hounslow,00ATGD,Feltham North,51.457624,-0.410735,2151
Hounslow,00ATGC,Cranford,51.473436,-0.404837,2462
Hounslow,00ATGB,Chiswick Riverside,51.48332,-0.270521,1692
Hounslow,00ATGA,Chiswick Homefields,51.4839,-0.254311,2406
Hounslow,00ATFZ,Brentford,51.492652,-0.301689,3432
Hounslow,00ATFY,Bedfont,51.45034,-0.439916,2338
Hounslow,00AT05N,Hounslow West,51.468308,-0.383259,2869
Hounslow,00AT04N,Hounslow South,51.462988,-0.350034,1140
Hounslow,00AT03N,Hounslow Heath,51.458872,-0.381485,2681
Hounslow,00AT02N,Hounslow Central,51.472348,-0.354646,2168
Hounslow,00AT01T,Hounslow Town Centre,51.468896,-0.361593,5054
Hillingdon,00ASHE,Yiewsley,51.515936,-0.466162,3198
Hillingdon,00ASHD,Yeading,51.52314,-0.38907,2966
Hillingdon,00ASHC,West Ruislip,51.58104,-0.437985,1691
Hillingdon,00ASHB,West Drayton,51.502616,-0.470299,3137
Hillingdon,00ASGX,South Ruislip,51.555104,-0.408676,2268
Hillingdon,00ASGW,Pinkwell,51.49852,-0.433448,2776
Hillingdon,00ASGU,Northwood Hills,51.598748,-0.409552,1593
Hillingdon,00ASGT,Northwood,51.60574,-0.436664,1261
Hillingdon,00ASGS,Manor,51.568584,-0.413904,1264
Hillingdon,00ASGR,Ickenham,51.564748,-0.460332,1021
Hillingdon,00ASGQ,Hillingdon East,51.542424,-0.437936,1721
Hillingdon,00ASGN,Harefield,51.598416,-0.476216,1094
Hillingdon,00ASGM,Eastcote and East Ruislip,51.583132,-0.412287,1444
Hillingdon,00ASGL,Charville,51.53222,-0.426737,1558
Hillingdon,00ASGK,Cavendish,51.570292,-0.39655,985
Hillingdon,00ASGJ,Brunel,51.528116,-0.464108,2958
Hillingdon,00ASGG,Barnhill,51.525144,-0.407097,2787
Hillingdon,00AS07N,Botwell,51.514516,-0.436174,2333
Hillingdon,00AS06N,Townfield,51.512852,-0.408969,3329
Hillingdon,00AS05N,Uxbridge South,51.534076,-0.484738,2264
Hillingdon,00AS04N,Uxbridge North,51.546956,-0.46418,1851
Hillingdon,00AS03N,Heathrow Villages,51.48588,-0.462677,3892
Hillingdon,00AS02T,Hayes Town Centre,51.50438,-0.417711,3177
Hillingdon,00AS01T,Uxbridge Town Centre,51.545988,-0.479424,3376
Havering,00ARGW,Upminster,51.545204,0.272787,1658
Havering,00ARGU,Squirrel's Heath,51.582608,0.212509,1389
Havering,00ARGT,South Hornchurch,51.52344,0.180075,2213
Havering,00ARGS,St Andrew's,51.559736,0.217514,2148
Havering,00ARGR,Romford Town,51.5772,0.188702,7940
Havering,00ARGQ,Rainham and Wennington,51.509684,0.207744,2207
Havering,00ARGP,Pettits,51.592512,0.186617,1483
Havering,00ARGN,Mawneys,51.5914,0.160081,1793
Havering,00ARGM,Hylands,51.563456,0.19836,1825
Havering,00ARGL,Heaton,51.604692,0.208884,2286
Havering,00ARGK,Havering Park,51.61294,0.174366,1639
Havering,00ARGJ,Harold Wood,51.59222,0.246642,2119
Havering,00ARGH,Hacton,51.550448,0.219008,907
Havering,00ARGG,Gooshays,51.6149,0.231222,3055
Havering,00ARGF,Emerson Park,51.575036,0.231794,1093
Havering,00ARGE,Elm Park,51.542016,0.19714,1472
Havering,00ARGD,Cranham,51.569848,0.264661,814
Havering,00ARGC,Brooklands,51.572836,0.165115,2844
Harrow,00AQGU,West Harrow,51.577708,-0.357302,1065
Harrow,00AQGT,Wealdstone,51.599796,-0.33711,1791
Harrow,00AQGS,Stanmore Park,51.61808,-0.32479,1396
Harrow,00AQGR,Roxeth,51.55958,-0.364479,1625
Harrow,00AQGQ,Roxbourne,51.566,-0.367783,1936
Harrow,00AQGP,Rayners Lane,51.57376,-0.375814,1106
Harrow,00AQGN,Queensbury,51.59818,-0.296328,1123
Harrow,00AQGM,Pinner South,51.585712,-0.385116,740
Harrow,00AQGL,Pinner,51.60306,-0.389405,1438
Harrow,00AQGK,Marlborough,51.592832,-0.334382,2038
Harrow,00AQGJ,Kenton West,51.59066,-0.316165,1117
Harrow,00AQGH,Kenton East,51.590328,-0.295079,908
Harrow,00AQGG,Headstone South,51.586748,-0.351137,1340
Harrow,00AQGF,Headstone North,51.594288,-0.364065,1076
Harrow,00AQGE,Hatch End,51.610092,-0.371338,1037
Harrow,00AQGD,Harrow Weald,51.614396,-0.346948,1553
Harrow,00AQGC,Harrow on the Hill,51.56824,-0.339899,1870
Harrow,00AQGA,Edgware,51.603092,-0.279579,1684
Harrow,00AQFZ,Canons,51.622976,-0.305714,1500
Harrow,00AQFY,Belmont,51.604412,-0.310048,1132
Harrow,00AQ02N,Greenhill,51.582256,-0.331499,2825
Harrow,00AQ01T,Harrow Town Centre,51.580336,-0.337293,2657
Haringey,00APGU,Woodside,51.602264,-0.10447,2981
Haringey,00APGT,White Hart Lane,51.603592,-0.084568,3110
Haringey,00APGS,West Green,51.59222,-0.090731,3148
Haringey,00APGR,Tottenham Hale,51.593612,-0.059575,5349
Haringey,00APGQ,Tottenham Green,51.58518,-0.072667,6449
Haringey,00APGP,Stroud Green,51.574968,-0.110571,1833
Haringey,00APGN,Seven Sisters,51.57766,-0.078843,3619
Haringey,00APGM,St Ann's,51.582116,-0.09038,3197
Haringey,00APGL,Northumberland Park,51.604148,-0.059796,5313
Haringey,00APGK,Noel Park,51.594304,-0.106462,7565
Haringey,00APGJ,Muswell Hill,51.586328,-0.137268,2169
Haringey,00APGH,Hornsey,51.58646,-0.118788,2536
Haringey,00APGG,Highgate,51.576688,-0.152612,1803
Haringey,00APGF,Harringay,51.578928,-0.103393,3256
Haringey,00APGE,Fortis Green,51.59234,-0.153991,1792
Haringey,00APGD,Crouch End,51.57802,-0.129063,2428
Haringey,00APGC,Bruce Grove,51.593244,-0.075926,3260
Haringey,00APGB,Bounds Green,51.605124,-0.122373,3030
Haringey,00APGA,Alexandra,51.598588,-0.132919,1624
Hammersmith and Fulham,00ANGR,Wormholt and White City,51.510928,-0.238691,2102
Hammersmith and Fulham,00ANGQ,Town,51.475504,-0.203873,2686
Hammersmith and Fulham,00ANGP,Shepherd's Bush Green,51.506616,-0.225833,7671
Hammersmith and Fulham,00ANGN,Sands End,51.47066,-0.188243,2173
Hammersmith and Fulham,00ANGM,Ravenscourt Park,51.495736,-0.240683,2459
Hammersmith and Fulham,00ANGL,Parsons Green and Walham,51.475696,-0.194616,2770
Hammersmith and Fulham,00ANGK,Palace Riverside,51.472232,-0.213604,1118
